entry_id,student_id,course_details,grade,credits_earned
501,SID-94321,Math: Algebra I,78,1.0\
502,SID-94321,English: ENG 1,85,1.0\
503,SID-94321,Science: Biology,C,1.0\
504,SID-94322,Math - Algebra I,92,1.0\
505,SID-94322,English: ENG 1,A,1.0\
506,s-94324,Math: Algebra I,65,0.0\
507,s-94324,History: World Civ,B-,1.0\
508,94325,Science: Biology,88,1.0\
509,94325,Art: Intro to Drawing,,1.0\
510,SID-94326,Math - Geometry,72,1.0\
511,s-94327,English: ENG 1 H,A-,1.0\
512,s-94327,History: World Civ,95,1.0\
513,94328,"\'course_name': 'Math: Algebra I', 'section': '3B', 'teacher': 'Mr. Davison'\",B+,1.0\
514,SID-94329,English: ENG 1,75,1.0\
515,94339,Math: Algebra I,F,0.0\
516,94339,PE: Physical Education 1,98,0.5\
517,SID-94340,Science: Biology,82,1.0\
518,SID-94321,History: World Civ,81,1.0\
519,s-94324,English: ENG 1,55,0.0\
520,s-94341,Science: Physics,B,1.0\
521,SID-94322,Science: Chemistry,95,0.0\
522,94325,Math: Algebra I,A-,Exempt
